"","X","bigram","bigram_d_freq","bigram_r_freq","chisq()"
"65242",65242,"california ms",172,17,6.95378018378051e-06
"258107",258107,"keyston xl",197,493,6.94649296191015e-06
"131278",131278,"democrat friend",4,138,6.9173460375481e-06
"26732",26732,"american women",196,28,6.89272167977597e-06
"265601",265601,"legal statu",74,287,6.87504360784213e-06
"128115",128115,"deem expir",193,27,6.85194073040435e-06
"355994",355994,"strong opposit",210,35,6.8380253948946e-06
"341854",341854,"senat mikulski",273,67,6.82776361632342e-06
"79040",79040,"children could",31,201,6.81444115085972e-06
"231960",231960,"hunger america",133,3,6.79776118269525e-06
"63699",63699,"busi come",217,39,6.77050396824528e-06
"9657",9657,"adjourn previou",186,25,6.72030811714377e-06
"171250",171250,"expir journal",190,27,6.69785137090072e-06
"229073",229073,"hour deem",190,27,6.69785137090072e-06
"389669",389669,"xl pipelin",158,425,6.68933112843193e-06
"334240",334240,"rise today",3829,2921,6.68410390005874e-06
"287392",287392,"move forward",1511,962,6.66797870710646e-06
"151613",151613,"effort put",32,200,6.65504453432058e-06
"309876",309876,"pledg morn",189,27,6.6465501396049e-06
"52629",52629,"big govern",11,151,6.61850317074995e-06
"257581",257581,"keep health",27,188,6.59528057207343e-06
"341949",341949,"senat period",188,27,6.59528057207343e-06
"60720",60720,"broken promis",12,153,6.59133032386273e-06
"200235",200235,"gender ident",126,2,6.57130034559706e-06
"3676",3676,"account work",145,9,6.57015522589912e-06
"83712",83712,"clean continu",142,8,6.54842378133983e-06
"61491",61491,"budget confer",187,27,6.54404311210694e-06
"106009",106009,"continu resolut",944,525,6.53816726544465e-06
"148265",148265,"econom develop",524,225,6.52970001197806e-06
"189477",189477,"food stamp",716,358,6.52833096872809e-06
"380336",380336,"war coal",9,144,6.51620316988603e-06
"282091",282091,"medic research",279,74,6.51262810235066e-06
"64623",64623,"buy gun",133,5,6.49469868396459e-06
"141814",141814,"district texa",14,156,6.48853545227457e-06
"283553",283553,"mental health",595,274,6.48672982510465e-06
"344934",344934,"sexual assault",954,534,6.48553605103189e-06
"142037",142037,"divid control",211,39,6.47347835567435e-06
"201361",201361,"gentleman pennsylvania",49,231,6.4715196244046e-06
"363839",363839,"therein minut",192,30,6.46691577194679e-06
"385455",385455,"women famili",183,26,6.45168061336979e-06
"341937",341937,"senat pass",514,220,6.44215121847853e-06
"270588",270588,"littl guy",19,167,6.44213440124064e-06
"157333",157333,"energi product",68,266,6.42105994663371e-06
"314244",314244,"prevent servic",157,15,6.41308806726308e-06
"101899",101899,"consent mandatori",134,6,6.40191797461321e-06
"350424",350424,"speaker presid",19,166,6.38972565469395e-06
"53202",53202,"bill consider",28,186,6.38146454104053e-06
"339287",339287,"second read",156,15,6.36005766317921e-06
"350012",350012,"speak therein",192,31,6.35868136122466e-06
"28095",28095,"announc committe",119,1,6.34746763575594e-06
"46737",46737,"bay area",172,22,6.34454194401888e-06
"313347",313347,"presid follow",176,24,6.31941399251298e-06
"277633",277633,"mandatori quorum",140,9,6.30049597547642e-06
"205107",205107,"go colleg",276,75,6.29663056273523e-06
"296998",296998,"offic nation",41,211,6.27361935195514e-06
"378948",378948,"vote motion",286,81,6.26419477062299e-06
"367117",367117,"time two",242,57,6.26172870842633e-06
"383534",383534,"western new",144,11,6.24295410023551e-06
"303812",303812,"pass comprehens",163,19,6.23265080961755e-06
"292660",292660,"new tax",47,222,6.22794952147286e-06
"269065",269065,"like health",15,153,6.20108605203742e-06
"378697",378697,"vote clean",130,6,6.18475597308415e-06
"378441",378441,"vladimir putin",37,201,6.18203228888888e-06
"87823",87823,"colleg afford",145,12,6.16342669685288e-06
"248940",248940,"intern revenu",77,276,6.13698002334773e-06
"224338",224338,"hispan heritag",161,19,6.1280646127767e-06
"307585",307585,"permiss revis",172,24,6.1134574189541e-06
"320505",320505,"puerto rico",233,54,6.10725226680124e-06
"374700",374700,"us attorney",355,124,6.09417192411253e-06
"361587",361587,"tax hike",13,146,6.08589998286366e-06
"232123",232123,"hurrican sandi",205,40,6.07886502452263e-06
"292592",292592,"new regul",20,162,6.06072390649732e-06
"175845",175845,"faith credit",166,22,6.03373840249485e-06
"235954",235954,"implement obamacar",9,135,6.03110507569051e-06
"157382",157382,"energi secur",87,291,6.02271609084629e-06
"83702",83702,"clean bill",152,16,6.02264690288196e-06
"175867",175867,"faith execut",10,137,6.00217253489407e-06
"189271",189271,"food assist",172,25,6.00050772642594e-06
"201469",201469,"gentlewoman california",213,45,5.98438964328399e-06
"268758",268758,"like announc",118,3,5.97899321760867e-06
"64426",64426,"busi today",232,55,5.9715397854816e-06
"136201",136201,"devic tax",31,184,5.95613297757289e-06
"328482",328482,"renew energi",361,130,5.94523476155936e-06
"204781",204781,"global war",26,173,5.9402017660164e-06
"240580",240580,"increas spend",26,173,5.9402017660164e-06
"179788",179788,"feder govern",2065,2791,5.93915719834236e-06
"292422",292422,"new haven",133,9,5.92343020011916e-06
"317978",317978,"promis american",11,138,5.92160710847032e-06
"71672",71672,"caucu meet",114,2,5.91555760336465e-06
"381050",381050,"water infrastructur",159,20,5.90467091169934e-06
"315666",315666,"proceed legisl",130,8,5.90009126050591e-06
"58192",58192,"border secur",389,737,5.88385179198059e-06
"265529",265529,"legal immigr",67,252,5.86915025778741e-06
"218695",218695,"harri reid",96,302,5.83278139491686e-06
"204368",204368,"given permiss",173,27,5.83035962016996e-06
"297751",297751,"oklahoma mr",18,153,5.83029278765862e-06
"181306",181306,"fifth amend",7,126,5.8245223660608e-06
"131185",131185,"democrat colleagu",67,251,5.8241286108081e-06
"732",732,"abl keep",50,219,5.80821114392772e-06
"287238",287238,"motion proceed",351,126,5.80594430372389e-06
"279816",279816,"mateo counti",109,1,5.80059194085926e-06
"206866",206866,"god bless",106,318,5.79870231606735e-06
"257572",257572,"keep govern",449,189,5.79636933815269e-06
"140394",140394,"diseas control",189,35,5.79180085592286e-06
"348282",348282,"social justic",138,12,5.78986277303136e-06
"36088",36088,"ask given",176,29,5.76634409478779e-06
"350102",350102,"speaker behalf",29,176,5.76634409478779e-06
"325606",325606,"record presid",130,9,5.7620114690963e-06
"378716",378716,"vote confirm",244,64,5.75461782717686e-06
"123485",123485,"day within",2,111,5.75164552721993e-06
"355600",355600,"straw purchas",149,17,5.74193925680759e-06
"274812",274812,"madam chairman",98,303,5.73307670022072e-06
"196476",196476,"full particip",116,4,5.71837360118662e-06
"321843",321843,"quorum rule",110,2,5.69701056521159e-06
"318999",318999,"protect public",189,36,5.69141906978777e-06
"314665",314665,"print record",628,315,5.68347902941697e-06
"42876",42876,"b outlay",288,90,5.67364863575399e-06
"215278",215278,"guest worker",15,143,5.67259113275594e-06
"341432",341432,"senat collin",218,51,5.67155213728511e-06
"292370",292370,"new england",216,50,5.667032909671e-06
"257405",257405,"kansa mr",3,112,5.65161752768524e-06
"179834",179834,"feder land",170,416,5.64938790726692e-06
"141513",141513,"district georgia",186,35,5.64393166804972e-06
"123741",123741,"de moin",42,200,5.64312191548423e-06
"389773",389773,"ye rollcal",167,26,5.63508377866351e-06
